"Slug","Title","Type","App Icon","App Icon:alt","Link","Focus Age","What am I learning","Website Link","Android ","Apple","Question 1","Answer 1","Question 2","Answer 2","Question 3","Answer 3"
"mouse-practice","Mouse Practice","Game","","","","4-8","<p>Tons of different games for anyone of any age to practice their mouse skills</p>","https://mouse-practice.com/","","","","","","","",""
"peeps-big-world","Peeps Big World","Game","","","","4-8","<p>Feed the character and practice mouse skills</p>","https://peepandthebigwideworld.com/en/kids/games/html5/3/quack-snacks/","","","","","","","",""
"train-track-engineer","Train Track Engineer","Game","","","","9-12","<p>Mouse and logic</p>","https://www.sesamestreet.org/games?id=230","","","","","","","",""
"puzzles","Puzzles","Game","","","","9-12","<p>These games use higher-level thinking to practice mouse skills</p>","https://kids.nationalgeographic.com/games/puzzles/","","","","","","","",""
"keyboard-jab","Keyboard Jab","Game","","","","9-12","<p>Keyboard skills</p>","https://www.roomrecess.com/mobile/JabJab/play.html","","","","","","","",""
"dragon-drop","Dragon Drop","Game","","","","4-8","<p>Basic Mouse skills</p><p><br></p>","https://www.roomrecess.com/games/DragonDrop/play.html","","","","","","","",""
"coding-for-kids","Coding for Kids","Video","","","https://www.youtube.com/watch?v=g1J4181W8ss","4-8","","","","","How is coding similar to following a recipe?","Answer: Coding is similar to following a recipe because both provide specific instructions to achieve a desired result.

Explanation: In the video, coding is compared to a recipe book, illustrating how it tells a computer what to do, just like a recipe outlines the steps for cooking a dish.","What are some examples of programming languages mentioned?","Answer: Examples of programming languages include C++, Python, and Java. 

Explanation: The video emphasizes that just as human languages differ, programming languages have unique rules. Understanding the right language is essential for effective communication with computers.","Name some everyday devices that contain computers.","Explanation: The video highlights how prevalent computers are in daily life, showing that many common devices rely on computing technology to function."
"hardware-vs-software","Hardware vs Software Song","Video","","","https://www.youtube.com/watch?v=xZKMmk8JSUk","4-8","","","","","What is the difference between hardware and software?","Answer: Hardware refers to the physical components of a computer that you can see and touch, like the screen and keyboard. Software, on the other hand, consists of instructions or code that tells the hardware what to do, and it cannot be seen.","","","",""
"computer-network","Computer Networks","Video","","","https://www.youtube.com/watch?v=1VPkXhVPOPo","4-8","","","","","What is a network, and how is it related to the Internet?","Answer: A network is a group of connected individuals or professionals who share information and support each other. The Internet is described as a collection of networks of computers that can communicate and share information.

Explanation: The concept of a network is central to understanding the Internet. Just as friends form a social network to share experiences, computers create a network that allows them to exchange data, making global communication and collaboration possible.","What are some ways the Internet can be used?","Answer: The Internet can be used for emailing, video calls, social media, joining online classes, and gathering information for activities like camping trips.","",""
"what-is-coding","What is Coding Song","Video","","","https://www.youtube.com/watch?v=lpeyoRSpMNg","4-8","","","","","What are some key aspects of coding mentioned in the song?","Answer: Key aspects of coding include solving problems, inventing new things, using imagination, and collaborating with others.

Explanation: The poem highlights that coding is not just about writing instructions for computers; it also involves creativity and teamwork. Coders work together to create applications, games, and systems that improve our lives and solve challenges.","According to the song, how does coding relate to the things we use every day?","Answer: Coding relates to everyday things by showing that they are created by people through coding, not by magic. For example, games, payment systems, and apps are all developed by teams of coders.

Explanation: The poem emphasizes that everything we interact with digitally has been crafted by human effort. Understanding this connection can inspire others to learn coding and contribute to creating new technologies and solutions in the future.","",""
"what-is-programming","What Is Programming","Video","","","https://www.youtube.com/watch?v=KJXd73u1g2c&list=PLZS3MUjYqjUEdir2JmYEmcoPjLPD0izDI&index=1","4-8","<p>Algorithms and Programming, Block coding &amp; Real coding</p>","","","","What is programming, and why is it important for machines?","Answer: Programming is the language that humans use to give instructions to machines. It is important because it allows machines to understand and perform tasks as directed by humans.

Explanation: Programming acts like a bridge between human intentions and machine actions. By using programming, we can control machines to perform a variety of tasks, from simple calculations to complex operations, like making a robot dance!","What are algorithms, and how do they relate to programming?","Answer: Algorithms are step-by-step instructions that tell a machine how to complete a specific task. They relate to programming because programmers write algorithms in code for machines to follow.

Explanation: Just as a recipe guides a cook through the steps to make a dish, an algorithm guides a machine through the steps it needs to take to produce a desired result. Understanding algorithms helps programmers create efficient and effective code.","What is block coding, and how does it help beginners learn programming?","Answer: Block coding is a method of programming that uses colored blocks to represent commands, which can be combined like puzzle pieces. It helps beginners by making it easier to organize instructions visually.

Explanation: Block coding simplifies the programming process by allowing users to see the commands clearly and fit them together without worrying about the complex syntax of traditional programming languages. This visual approach is particularly helpful for young learners as they begin to understand programming concepts."
"programming-for-kids-basic-concepts-pt-1","Programming for Kids: Basic Concepts Pt 1","Video","","","https://www.youtube.com/watch?v=_j4Lj-BT00g","4-8","<p>Basic About Coding</p>","","","","What is programming?","Answer: Programming is like a special language that helps machines understand what we want them to do. Just like we use words to talk to each other, we use programming languages to give orders to computers and robots.

Explanation: Think of programming as a way to communicate with machines. When we write code in a programming language, we are telling the machine exactly what actions to take, just like giving someone instructions for a game.","What are algorithms?","Answer: Algorithms are step-by-step instructions that tell a machine how to do a task, kind of like a recipe.

Explanation: Imagine you're baking a cake. The recipe lists all the steps you need to follow, like mixing the ingredients and putting it in the oven. In programming, algorithms are similar—they are the detailed steps that a computer follows to get a specific result.","Why is learning programming important?","Answer: Learning programming helps us solve problems more easily and understand how the technology around us works.

Explanation: Just like learning to ride a bike makes it easier to get around, learning programming helps us figure out how to make machines do what we want. It can also be a lot of fun and opens up new ways to create and explore!"
